timestamp,yaw
2025-07-19T07:15:57.104276,-56.45424341343926
2025-07-19T07:15:57.271982,-57.14822419829745
2025-07-19T07:15:57.359221,-57.16190529611857
2025-07-19T07:15:57.430975,-57.84733310679054
2025-07-19T07:15:57.492789,-61.72745910097026
2025-07-19T07:15:57.553513,-55.47874286404995
2025-07-19T07:15:57.627007,-56.19745572007248
2025-07-19T07:15:57.688357,-56.37072788079895
2025-07-19T07:15:57.735173,-57.11162477648361
2025-07-19T07:15:57.792315,-56.2592772230665
2025-07-19T07:15:57.850729,-57.14201528218129
2025-07-19T07:15:57.916688,-57.011989338000575
2025-07-19T07:15:57.976081,-57.048563369878394
2025-07-19T07:15:58.024111,-57.07859379775954
2025-07-19T07:15:58.076071,-57.8038031972036
2025-07-19T07:15:58.131724,-58.32653313791225
2025-07-19T07:15:58.189265,-59.53340535274525
2025-07-19T07:15:58.239026,-59.92045983242855
2025-07-19T07:15:58.292584,-63.18346917652322
2025-07-19T07:15:58.346559,-64.35141190019692
2025-07-19T07:15:58.408080,-68.48636797664328
2025-07-19T07:15:58.453240,-73.15891443617951
2025-07-19T07:15:58.498918,-72.1491751608584
2025-07-19T07:15:58.555184,-76.72978562370207
2025-07-19T07:15:58.626126,-77.48078882739594
2025-07-19T07:15:58.688807,-81.73907366678951
2025-07-19T07:15:58.740574,-86.22875040193851
2025-07-19T07:15:58.802959,-88.73106478589759
2025-07-19T07:15:58.863060,-91.16085045066859
2025-07-19T07:15:58.914967,-94.55727548137273
2025-07-19T07:15:58.974684,-97.49608087488534
2025-07-19T07:15:59.023907,-98.67217241497211
2025-07-19T07:15:59.084256,-101.48156965565474
2025-07-19T07:15:59.156567,-104.57867040685665
2025-07-19T07:15:59.215134,-107.20296546491747
2025-07-19T07:15:59.274795,-106.44507178070832
2025-07-19T07:15:59.326815,-107.91554905267023
2025-07-19T07:15:59.395032,-108.92975200664674
2025-07-19T07:15:59.462869,-110.0449855489961
2025-07-19T07:15:59.523175,-111.18407267144097
2025-07-19T07:15:59.595718,-110.97043538842561
2025-07-19T07:15:59.656791,-113.06358981277201
2025-07-19T07:15:59.718843,-114.00241149909404
2025-07-19T07:15:59.769980,-115.85591741342031
2025-07-19T07:15:59.824277,-116.73324521988991
2025-07-19T07:15:59.886881,-117.79715501162367
2025-07-19T07:15:59.943054,-119.60636463548536
2025-07-19T07:15:59.994639,-119.8655009177606
2025-07-19T07:16:00.050501,-121.13203590338813
2025-07-19T07:16:00.108251,-122.22840467324379
2025-07-19T07:16:00.163318,-123.34938538383138
2025-07-19T07:16:00.230204,-123.11074238673406
2025-07-19T07:16:00.271544,-123.18891093304643
2025-07-19T07:16:00.331510,-121.96075395606326
2025-07-19T07:16:00.383320,-122.39668622274448
2025-07-19T07:16:00.436392,-119.7401037292617
2025-07-19T07:16:00.489028,-118.51704152418715
2025-07-19T07:16:00.548529,-117.18860587649263
2025-07-19T07:16:00.606411,-115.09963685660914
2025-07-19T07:16:00.672304,-111.99192818817778
2025-07-19T07:16:00.722503,-110.88467966367949
2025-07-19T07:16:00.783848,-107.60150067770282
2025-07-19T07:16:00.871310,-103.18010990374017
2025-07-19T07:16:00.976979,-101.98228245230513
2025-07-19T07:16:01.053816,-97.42369725037346
2025-07-19T07:16:01.117644,-93.94843197505611
2025-07-19T07:16:01.169504,-90.9581945286582
2025-07-19T07:16:01.249511,-85.95266017962342
2025-07-19T07:16:01.320033,-77.63994848092008
2025-07-19T07:16:01.370867,-74.2414645496046
2025-07-19T07:16:01.421053,-71.65125839470764
2025-07-19T07:16:01.467796,-70.7631009324923
2025-07-19T07:16:01.525602,-70.09625541801181
2025-07-19T07:16:01.585840,-73.15707387462693
2025-07-19T07:16:01.649412,-73.20311981797731
2025-07-19T07:16:01.787268,-77.18117816613415
2025-07-19T07:16:01.888581,-79.159752707765
2025-07-19T07:16:01.947145,-87.56742930170837
2025-07-19T07:16:02.004187,-96.16733044671719
