roll,pitch,yaw,timestamp
0.11,0.25,0.01,1759343146.9116533
0.11,0.25,0.01,1759343146.9144833
0.11,0.25,0.01,1759343146.9174032
0.11,0.25,0.01,1759343146.9202435
0.11,0.25,0.01,1759343146.9233007
0.11,0.25,0.01,1759343146.926232
0.11,0.25,0.01,1759343146.9321144
0.11,0.25,0.01,1759343146.9378695
0.11,0.25,0.01,1759343146.9420063
0.11,0.25,0.01,1759343146.9446175
0.11,0.25,0.01,1759343146.9467208
0.11,0.25,0.01,1759343146.9502115
0.11,0.25,0.01,1759343146.9522035
0.11,0.25,0.01,1759343146.9550295
0.11,0.25,0.01,1759343146.957432
0.11,0.25,0.01,1759343146.9608166
0.11,0.25,0.01,1759343146.9633362
0.11,0.25,0.01,1759343146.9666226
0.11,0.25,0.01,1759343146.9704757
0.11,0.25,0.01,1759343146.9725375
0.11,0.25,0.01,1759343146.9752517
0.11,0.25,0.01,1759343146.9781685
0.11,0.25,0.01,1759343146.9821537
0.11,0.25,0.01,1759343146.9856255
0.11,0.25,0.01,1759343146.9892766
0.11,0.25,0.01,1759343146.9920263
0.11,0.25,0.01,1759343146.993955
0.11,0.25,0.01,1759343146.9960325
0.11,0.25,0.01,1759343146.9980712
0.11,0.25,0.01,1759343147.000123
0.11,0.25,0.01,1759343147.0025733
0.11,0.25,0.01,1759343147.004587
0.11,0.25,0.01,1759343147.007129
0.11,0.25,0.01,1759343147.0090144
0.11,0.25,0.01,1759343147.0108726
0.11,0.25,0.01,1759343147.013147
0.11,0.25,0.01,1759343147.0153522
0.11,0.25,0.01,1759343147.018124
0.11,0.25,0.01,1759343147.0201232
0.11,0.25,0.01,1759343147.0224247
0.11,0.25,0.01,1759343147.0246658
0.11,0.25,0.01,1759343147.0266654
0.11,0.25,0.01,1759343147.0287402
0.11,0.25,0.01,1759343147.0330672
0.11,0.25,0.01,1759343147.0350266
0.11,0.25,0.01,1759343147.0373394
0.11,0.25,0.01,1759343147.0394769
0.11,0.25,0.01,1759343147.0418615
0.11,0.25,0.01,1759343147.0440874
0.11,0.25,0.01,1759343147.0459523
0.11,0.25,0.01,1759343147.0537996
0.11,0.25,0.01,1759343147.0557816
0.11,0.25,0.01,1759343147.0581768
0.11,0.25,0.01,1759343147.0600834
0.11,0.25,0.01,1759343147.06198
0.11,0.25,0.01,1759343147.0648975
0.11,0.25,0.01,1759343147.0668354
0.11,0.25,0.01,1759343147.070008
0.11,0.25,0.01,1759343147.0735626
0.11,0.25,0.01,1759343147.076876
0.11,0.25,0.01,1759343147.078558
0.11,0.25,0.01,1759343147.0820112
0.11,0.25,0.01,1759343147.0845416
0.11,0.25,0.01,1759343147.086795
0.11,0.25,0.01,1759343147.0885923
0.11,0.25,0.01,1759343147.091247
0.11,0.25,0.01,1759343147.0939972
0.11,0.25,0.01,1759343147.0959504
0.11,0.25,0.01,1759343147.098266
0.11,0.25,0.01,1759343147.1006246
0.11,0.25,0.01,1759343147.1034546
0.11,0.25,0.01,1759343147.1054854
0.11,0.25,0.01,1759343147.1098263
0.11,0.25,0.01,1759343147.111818
0.11,0.25,0.01,1759343147.1139834
0.11,0.25,0.01,1759343147.1162176
0.11,0.25,0.01,1759343147.1183689
0.11,0.25,0.01,1759343147.120375
0.11,0.25,0.01,1759343147.1223342
0.11,0.25,0.01,1759343147.12579
0.11,0.25,0.01,1759343147.128614
0.11,0.25,0.01,1759343147.132087
0.11,0.25,0.01,1759343147.1357374
0.11,0.25,0.01,1759343147.1388433
0.11,0.25,0.01,1759343147.1417744
0.11,0.25,0.01,1759343147.1450355
0.11,0.25,0.01,1759343147.1481476
0.11,0.25,0.01,1759343147.1507895
0.11,0.25,0.01,1759343147.154379
0.11,0.25,0.01,1759343147.15777
0.11,0.25,0.01,1759343147.1599758
0.11,0.25,0.01,1759343147.162094
0.11,0.25,0.01,1759343147.1676292
0.11,0.25,0.01,1759343147.1702948
0.11,0.25,0.01,1759343147.1740365
0.11,0.25,0.01,1759343147.1758986
0.11,0.25,0.01,1759343147.1831644
0.11,0.25,0.01,1759343147.185848
0.11,0.25,0.01,1759343147.1905954
0.11,0.25,0.01,1759343147.1934783
0.11,0.25,0.01,1759343147.195543
0.11,0.25,0.01,1759343147.19776
0.11,0.25,0.01,1759343147.200512
0.11,0.25,0.01,1759343147.2034447
0.11,0.25,0.01,1759343147.210384
0.11,0.25,0.01,1759343147.212791
0.11,0.25,0.01,1759343147.2145836
0.11,0.25,0.01,1759343147.216349
0.11,0.25,0.01,1759343147.2181456
0.11,0.25,0.01,1759343147.2205882
0.11,0.25,0.01,1759343147.222524
0.11,0.25,0.01,1759343147.2254045
0.11,0.25,0.01,1759343147.228115
0.11,0.25,0.01,1759343147.2350364
0.11,0.25,0.01,1759343147.2379768
0.11,0.25,0.01,1759343147.2409267
0.11,0.25,0.01,1759343147.244363
0.11,0.25,0.01,1759343147.2522953
0.11,0.25,0.01,1759343147.2551143
0.11,0.25,0.01,1759343147.2579606
0.11,0.25,0.01,1759343147.2607908
0.11,0.25,0.01,1759343147.2631488
0.11,0.25,0.01,1759343147.2695515
0.11,0.25,0.01,1759343147.2721224
0.11,0.25,0.01,1759343147.2755413
0.11,0.25,0.01,1759343147.27819
0.11,0.25,0.01,1759343147.280372
0.11,0.25,0.01,1759343147.2880993
0.11,0.25,0.01,1759343147.2904613
0.11,0.25,0.01,1759343147.292796
0.11,0.25,0.01,1759343147.2956307
0.11,0.25,0.01,1759343147.2980082
0.11,0.25,0.01,1759343147.3025231
0.11,0.25,0.01,1759343147.306515
0.11,0.25,0.01,1759343147.3092928
0.11,0.25,0.01,1759343147.3132846
0.11,0.25,0.01,1759343147.3175814
0.11,0.25,0.01,1759343147.322677
0.11,0.25,0.01,1759343147.3272998
0.11,0.25,0.01,1759343147.3304334
0.11,0.25,0.01,1759343147.334524
0.11,0.25,0.01,1759343147.338239
0.11,0.25,0.01,1759343147.3426068
0.11,0.25,0.01,1759343147.346012
0.11,0.25,0.01,1759343147.350337
0.11,0.25,0.01,1759343147.3544216
0.11,0.25,0.01,1759343147.35902
0.11,0.25,0.01,1759343147.362852
0.11,0.25,0.01,1759343147.3668451
0.11,0.25,0.01,1759343147.370051
0.11,0.25,0.01,1759343147.3737783
0.11,0.25,0.01,1759343147.3774614
0.11,0.25,0.01,1759343147.3819382
0.11,0.25,0.01,1759343147.3842738
0.11,0.25,0.01,1759343147.3891563
0.11,0.25,0.01,1759343147.3926785
0.11,0.25,0.01,1759343147.396153
0.11,0.25,0.01,1759343147.3996098
0.11,0.25,0.01,1759343147.4021854
0.11,0.25,0.01,1759343147.4046402
0.11,0.25,0.01,1759343147.4067428
0.11,0.25,0.01,1759343147.4096224
0.11,0.25,0.01,1759343147.4128635
0.11,0.25,0.01,1759343147.4166112
0.11,0.25,0.01,1759343147.419964
0.11,0.25,0.01,1759343147.4229712
0.11,0.25,0.01,1759343147.4272084
0.11,0.25,0.01,1759343147.4316914
0.11,0.25,0.01,1759343147.43514
0.11,0.25,0.01,1759343147.4382086
0.11,0.25,0.01,1759343147.4417806
0.11,0.25,0.01,1759343147.4442964
0.11,0.25,0.01,1759343147.4475613
0.11,0.25,0.01,1759343147.4501204
0.11,0.25,0.01,1759343147.453336
0.11,0.25,0.01,1759343147.4559984
0.11,0.25,0.01,1759343147.4591806
0.11,0.25,0.01,1759343147.462948
0.11,0.25,0.01,1759343147.465616
0.11,0.25,0.01,1759343147.4682512
0.11,0.25,0.01,1759343147.4716694
0.11,0.25,0.01,1759343147.474363
0.11,0.25,0.01,1759343147.4770527
0.11,0.25,0.01,1759343147.4800396
0.11,0.25,0.01,1759343147.48279
0.11,0.25,0.01,1759343147.485496
0.11,0.25,0.01,1759343147.488796
0.11,0.25,0.01,1759343147.4924228
0.11,0.25,0.01,1759343147.4955945
0.11,0.25,0.01,1759343147.4985805
0.11,0.25,0.01,1759343147.501718
0.11,0.25,0.01,1759343147.504516
0.11,0.25,0.01,1759343147.5069537
0.11,0.25,0.01,1759343147.5112572
0.11,0.25,0.01,1759343147.5139086
0.11,0.25,0.01,1759343147.5162568
0.11,0.25,0.01,1759343147.519544
0.11,0.25,0.01,1759343147.5222423
0.11,0.25,0.01,1759343147.525115
0.11,0.25,0.01,1759343147.5282469
0.11,0.25,0.01,1759343147.5308363
0.11,0.25,0.01,1759343147.5338376
0.11,0.25,0.01,1759343147.5371883
0.11,0.25,0.01,1759343147.540543
0.11,0.25,0.01,1759343147.544366
0.11,0.25,0.01,1759343147.5473197
0.11,0.25,0.01,1759343147.551123
0.11,0.25,0.01,1759343147.5540884
0.11,0.25,0.01,1759343147.5582654
0.11,0.25,0.01,1759343147.5621457
0.11,0.25,0.01,1759343147.5657983
0.11,0.25,0.01,1759343147.5704422
0.11,0.25,0.01,1759343147.5734897
0.11,0.25,0.01,1759343147.5765336
0.11,0.25,0.01,1759343147.5806556
0.11,0.25,0.01,1759343147.584326
0.11,0.25,0.01,1759343147.588796
0.11,0.25,0.01,1759343147.5916405
0.11,0.25,0.01,1759343147.5950196
0.11,0.25,0.01,1759343147.597578
0.11,0.25,0.01,1759343147.5998375
0.11,0.25,0.01,1759343147.602858
0.11,0.25,0.01,1759343147.6063595
0.11,0.25,0.01,1759343147.6092052
0.11,0.25,0.01,1759343147.6128082
0.11,0.25,0.01,1759343147.6149971
0.11,0.25,0.01,1759343147.618422
0.11,0.25,0.01,1759343147.6210742
0.11,0.25,0.01,1759343147.6242988
0.11,0.25,0.01,1759343147.6284852
0.11,0.25,0.01,1759343147.6342242
0.11,0.25,0.01,1759343147.6377776
0.11,0.25,0.01,1759343147.6444535
0.11,0.25,0.01,1759343147.6481023
0.11,0.25,0.01,1759343147.6508574
0.11,0.25,0.01,1759343147.6543353
0.11,0.25,0.01,1759343147.6571398
0.11,0.25,0.01,1759343147.66254
0.11,0.25,0.01,1759343147.665804
0.11,0.25,0.01,1759343147.6687665
0.11,0.25,0.01,1759343147.6719823
0.11,0.25,0.01,1759343147.6768718
0.11,0.25,0.01,1759343147.6821322
0.11,0.25,0.01,1759343147.6849234
0.11,0.25,0.01,1759343147.6887605
0.11,0.25,0.01,1759343147.6918695
0.11,0.25,0.01,1759343147.6947534
0.11,0.25,0.01,1759343147.698284
0.11,0.25,0.01,1759343147.703089
0.11,0.25,0.01,1759343147.7076366
0.11,0.25,0.01,1759343147.710345
0.11,0.25,0.01,1759343147.713114
0.11,0.25,0.01,1759343147.7175047
0.11,0.25,0.01,1759343147.720883
0.11,0.25,0.01,1759343147.724557
0.11,0.25,0.01,1759343147.7278056
0.11,0.25,0.01,1759343147.7305844
0.11,0.25,0.01,1759343147.7334816
0.11,0.25,0.01,1759343147.7365816
0.11,0.25,0.01,1759343147.7394538
0.11,0.25,0.01,1759343147.7424104
0.11,0.25,0.01,1759343147.747251
0.11,0.25,0.01,1759343147.7514455
0.11,0.25,0.01,1759343147.7546403
0.11,0.25,0.01,1759343147.7570443
0.11,0.25,0.01,1759343147.7599514
0.11,0.25,0.01,1759343147.7632318
0.11,0.25,0.01,1759343147.7661085
0.11,0.25,0.01,1759343147.768746
0.11,0.25,0.01,1759343147.7721517
0.11,0.25,0.01,1759343147.7750478
0.11,0.25,0.01,1759343147.7774563
0.11,0.25,0.01,1759343147.7811272
0.11,0.25,0.01,1759343147.7841294
0.11,0.25,0.01,1759343147.7867749
0.11,0.25,0.01,1759343147.7890997
0.11,0.25,0.01,1759343147.7935696
0.11,0.25,0.01,1759343147.7973547
0.11,0.25,0.01,1759343147.8006337
0.11,0.25,0.01,1759343147.8049145
0.11,0.25,0.01,1759343147.8083389
0.11,0.25,0.01,1759343147.8133204
0.11,0.25,0.01,1759343147.818251
0.11,0.25,0.01,1759343147.822045
0.11,0.25,0.01,1759343147.8258944
0.11,0.25,0.01,1759343147.8313358
0.11,0.25,0.01,1759343147.837476
0.11,0.25,0.01,1759343147.8414383
0.11,0.25,0.01,1759343147.848343
0.11,0.25,0.01,1759343147.8506703
0.11,0.25,0.01,1759343147.8532355
0.11,0.25,0.01,1759343147.856177
0.11,0.25,0.01,1759343147.8588872
0.11,0.25,0.01,1759343147.862672
0.11,0.25,0.01,1759343147.8666265
0.11,0.25,0.01,1759343147.8700762
0.11,0.25,0.01,1759343147.8740122
0.11,0.25,0.01,1759343147.87914
0.11,0.25,0.01,1759343147.8832085
0.11,0.25,0.01,1759343147.887293
0.11,0.25,0.01,1759343147.8916416
0.11,0.25,0.01,1759343147.895846
0.11,0.25,0.01,1759343147.8990328
0.11,0.25,0.01,1759343147.9020357
0.11,0.25,0.01,1759343147.905534
0.11,0.25,0.01,1759343147.9099672
0.11,0.25,0.01,1759343147.91653
0.11,0.25,0.01,1759343147.9200077
0.11,0.25,0.01,1759343147.924456
0.11,0.25,0.01,1759343147.9291406
0.11,0.25,0.01,1759343147.932201
0.11,0.25,0.01,1759343147.9346611
0.11,0.25,0.01,1759343147.941181
0.11,0.25,0.01,1759343147.9459448
0.11,0.25,0.01,1759343147.95178
0.11,0.25,0.01,1759343147.9545734
0.11,0.25,0.01,1759343147.9572525
0.11,0.25,0.01,1759343147.9589937
0.11,0.25,0.01,1759343147.9606814
0.11,0.25,0.01,1759343147.9632754
0.11,0.25,0.01,1759343147.965325
0.11,0.25,0.01,1759343147.9679515
0.11,0.25,0.01,1759343147.9701762
0.11,0.25,0.01,1759343147.9732676
0.11,0.25,0.01,1759343147.975019
0.11,0.25,0.01,1759343147.9773376
0.11,0.25,0.01,1759343147.98281
0.11,0.25,0.01,1759343147.9849074
0.11,0.25,0.01,1759343147.9873576
0.11,0.25,0.01,1759343147.989072
0.11,0.25,0.01,1759343147.9908028
0.11,0.25,0.01,1759343147.9931629
0.11,0.25,0.01,1759343147.9962158
0.11,0.25,0.01,1759343148.0038188
0.11,0.25,0.01,1759343148.0073855
0.11,0.25,0.01,1759343148.01152
0.11,0.25,0.01,1759343148.0160575
0.11,0.25,0.01,1759343148.0203516
0.11,0.25,0.01,1759343148.0232103
0.11,0.25,0.01,1759343148.0262046
0.11,0.25,0.01,1759343148.0300336
0.11,0.25,0.01,1759343148.033647
0.11,0.25,0.01,1759343148.0412166
0.11,0.25,0.01,1759343148.0444694
0.11,0.25,0.01,1759343148.0482998
0.11,0.25,0.01,1759343148.0514402
0.11,0.25,0.01,1759343148.0534296
0.11,0.25,0.01,1759343148.0561626
0.11,0.25,0.01,1759343148.058957
0.11,0.25,0.01,1759343148.0609653
0.11,0.25,0.01,1759343148.0663924
0.11,0.25,0.01,1759343148.0684154
0.11,0.25,0.01,1759343148.070181
0.11,0.25,0.01,1759343148.0736248
0.11,0.25,0.01,1759343148.076817
0.11,0.25,0.01,1759343148.0802443
0.11,0.25,0.01,1759343148.0832944
0.11,0.25,0.01,1759343148.086156
0.11,0.25,0.01,1759343148.0888
0.11,0.25,0.01,1759343148.0924923
0.11,0.25,0.01,1759343148.0953314
0.11,0.25,0.01,1759343148.1000564
0.11,0.25,0.01,1759343148.103334
0.11,0.25,0.01,1759343148.1069927
0.11,0.25,0.01,1759343148.111035
0.11,0.25,0.01,1759343148.116021
0.11,0.25,0.01,1759343148.120412
0.11,0.25,0.01,1759343148.1243887
0.11,0.25,0.01,1759343148.1269405
0.11,0.25,0.01,1759343148.1287932
0.11,0.25,0.01,1759343148.1352842
0.11,0.25,0.01,1759343148.1386228
0.11,0.25,0.01,1759343148.1418252
0.11,0.25,0.01,1759343148.145542
0.11,0.25,0.01,1759343148.1502244
0.11,0.25,0.01,1759343148.153287
0.11,0.25,0.01,1759343148.155929
0.11,0.25,0.01,1759343148.1588626
0.11,0.25,0.01,1759343148.1616523
0.11,0.25,0.01,1759343148.1641686
0.11,0.25,0.01,1759343148.1664848
0.11,0.25,0.01,1759343148.1685772
0.11,0.25,0.01,1759343148.17107
0.11,0.25,0.01,1759343148.1736145
0.11,0.25,0.01,1759343148.1765542
0.11,0.25,0.01,1759343148.1802323
0.11,0.25,0.01,1759343148.1846273
0.11,0.25,0.01,1759343148.1865792
0.11,0.25,0.01,1759343148.1886322
0.11,0.25,0.01,1759343148.1908822
0.11,0.25,0.01,1759343148.1927605
0.11,0.25,0.01,1759343148.1954088
0.11,0.25,0.01,1759343148.1976085
0.11,0.25,0.01,1759343148.200734
0.11,0.25,0.01,1759343148.204171
0.11,0.25,0.01,1759343148.210327
0.11,0.25,0.01,1759343148.213466
0.11,0.25,0.01,1759343148.2155902
0.11,0.25,0.01,1759343148.2180104
0.11,0.25,0.01,1759343148.220911
0.11,0.25,0.01,1759343148.2232492
0.11,0.25,0.01,1759343148.2253375
0.11,0.25,0.01,1759343148.228696
0.11,0.25,0.01,1759343148.2304327
0.11,0.25,0.01,1759343148.233148
0.11,0.25,0.01,1759343148.2360525
0.11,0.25,0.01,1759343148.2383564
0.11,0.25,0.01,1759343148.2403102
0.11,0.25,0.01,1759343148.2447927
0.11,0.25,0.01,1759343148.2470305
0.11,0.25,0.01,1759343148.2492847
0.11,0.25,0.01,1759343148.2516704
0.11,0.25,0.01,1759343148.2541077
0.11,0.25,0.01,1759343148.2564435
0.11,0.25,0.01,1759343148.25871
0.11,0.25,0.01,1759343148.2607625
0.11,0.25,0.01,1759343148.2634718
0.11,0.25,0.01,1759343148.265735
0.11,0.25,0.01,1759343148.2688105
0.11,0.25,0.01,1759343148.2714057
0.11,0.25,0.01,1759343148.2750747
0.11,0.25,0.01,1759343148.277369
0.11,0.25,0.01,1759343148.27956
0.11,0.25,0.01,1759343148.2833643
0.11,0.25,0.01,1759343148.28543
0.11,0.25,0.01,1759343148.288108
0.11,0.25,0.01,1759343148.290652
0.11,0.25,0.01,1759343148.293934
0.11,0.25,0.01,1759343148.2974873
0.11,0.25,0.01,1759343148.301289
0.11,0.25,0.01,1759343148.3045273
0.11,0.25,0.01,1759343148.306544
0.11,0.25,0.01,1759343148.3090358
0.11,0.25,0.01,1759343148.3113072
0.11,0.25,0.01,1759343148.313433
0.11,0.25,0.01,1759343148.3163135
0.11,0.25,0.01,1759343148.319033
0.11,0.25,0.01,1759343148.32106
0.11,0.25,0.01,1759343148.327861
0.11,0.25,0.01,1759343148.3316724
0.11,0.25,0.01,1759343148.3349264
0.11,0.25,0.01,1759343148.3370943
0.11,0.25,0.01,1759343148.342469
0.11,0.25,0.01,1759343148.3450928
0.11,0.25,0.01,1759343148.347401
0.11,0.25,0.01,1759343148.3501985
0.11,0.25,0.01,1759343148.35387
0.11,0.25,0.01,1759343148.3583417
0.11,0.25,0.01,1759343148.3613603
0.11,0.25,0.01,1759343148.3645136
0.11,0.25,0.01,1759343148.3674247
0.11,0.25,0.01,1759343148.36949
0.11,0.25,0.01,1759343148.372137
