-9.262500	32.990600	-5.857000
-11.578100	38.190200	-7.407400
-18.525000	34.425000	-16.537500
-25.293700	34.066400	-22.739100
-24.046900	37.473000	-26.701200
-24.046900	37.473000	-26.701200
-23.156200	38.369500	-33.764100
-21.553100	40.341800	-44.272300
-21.909400	47.155100	-50.818400
-11.578100	46.437900	-56.330900
-11.578100	46.437900	-56.330900
-15.140600	45.003500	-56.330900
-4.809400	47.155100	-59.431600
-6.768700	49.844500	-62.360200
7.659400	52.534000	-61.154300
7.659400	52.534000	-61.154300
16.565600	52.534000	-63.221500
24.759400	52.175400	-59.431600
18.168700	47.693000	-58.914800
19.237500	46.975800	-59.603900
19.237500	46.975800	-59.603900
22.978100	46.079300	-53.919100
31.350000	45.182800	-52.024200
35.090600	44.286300	-45.305900
38.296900	40.341800	-41.171500
38.296900	40.341800	-41.171500
36.337500	39.803900	-37.898400
39.187500	40.521100	-36.864800
37.050000	39.803900	-34.797700
37.584400	39.624600	-34.625400
37.584400	39.624600	-34.625400
37.584400	39.624600	-34.625400
37.584400	39.624600	-34.625400
37.584400	39.624600	-34.625400
37.584400	39.624600	-34.625400
37.584400	39.624600	-34.625400
37.584400	39.624600	-34.625400
37.584400	39.624600	-34.625400
37.584400	39.624600	-34.625400
37.584400	39.624600	-34.625400
37.584400	39.624600	-34.625400
29.746900	41.417600	-2.928500
28.500000	41.955500	1.033600
27.075000	45.182800	2.411700
24.759400	42.852000	3.273000
24.759400	42.852000	3.273000
19.237500	39.445300	4.134400
10.509400	42.134800	5.684800
14.606300	41.955500	8.268800
2.493700	41.238300	7.924200
2.493700	41.238300	7.924200
-2.493700	41.596900	4.134400
-1.425000	45.182800	1.033600
-15.496900	46.437900	-2.928500
-17.634400	43.210500	-5.684800
-11.934400	47.155100	-0.861300
-11.934400	47.155100	-0.861300
-18.881300	44.824200	-7.235200
-18.168700	43.031200	-8.957800
-21.196900	39.266000	-13.264500
-19.237500	36.935200	-13.092200
-19.237500	36.935200	-13.092200
-14.250000	36.576600	-12.058600
-16.031200	30.480500	-14.470300
-10.331300	28.328900	-14.470300
-13.003100	28.866800	-19.466000
