timestamp,desp
2025-07-19T08:05:56.003491,0.81
2025-07-19T08:05:56.074622,0.8200000000000001
2025-07-19T08:05:56.155222,0.8200000000000001
2025-07-19T08:05:56.239134,0.81
2025-07-19T08:05:56.318296,0.8200000000000001
2025-07-19T08:05:56.398931,0.8200000000000001
2025-07-19T08:05:56.468451,0.8200000000000001
2025-07-19T08:05:56.546208,0.81
2025-07-19T08:05:56.613130,0.8200000000000001
2025-07-19T08:05:56.688529,0.8200000000000001
2025-07-19T08:05:56.762825,0.83
2025-07-19T08:05:56.833003,0.8200000000000001
2025-07-19T08:05:56.906958,0.83
2025-07-19T08:05:56.994602,0.83
2025-07-19T08:05:57.070960,0.84
2025-07-19T08:05:57.153962,0.84
2025-07-19T08:05:57.241236,0.86
2025-07-19T08:05:57.330708,0.87
2025-07-19T08:05:57.414925,0.87
2025-07-19T08:05:57.492546,0.85
2025-07-19T08:05:57.575590,0.87
2025-07-19T08:05:57.643578,0.88
2025-07-19T08:05:57.713619,0.91
2025-07-19T08:05:57.785220,0.94
2025-07-19T08:05:57.852829,0.98
2025-07-19T08:05:57.937728,1.01
2025-07-19T08:05:58.014937,1.01
2025-07-19T08:05:58.091514,1.02
2025-07-19T08:05:58.168202,1.04
2025-07-19T08:05:58.240312,1.05
2025-07-19T08:05:58.322002,1.06
2025-07-19T08:05:58.396018,1.09
2025-07-19T08:05:58.474475,1.12
2025-07-19T08:05:58.561298,1.13
2025-07-19T08:05:58.645871,1.15
2025-07-19T08:05:58.717304,1.15
2025-07-19T08:05:58.792256,1.15
2025-07-19T08:05:58.881811,1.15
2025-07-19T08:05:58.958390,1.15
2025-07-19T08:05:59.058109,1.16
2025-07-19T08:05:59.146019,1.1400000000000001
2025-07-19T08:05:59.221409,1.16
2025-07-19T08:05:59.292932,1.16
2025-07-19T08:05:59.362583,1.16
2025-07-19T08:05:59.436046,1.16
2025-07-19T08:05:59.509755,1.16
2025-07-19T08:05:59.590334,1.16
2025-07-19T08:05:59.666975,1.17
2025-07-19T08:05:59.735628,1.17
2025-07-19T08:05:59.806287,1.18
2025-07-19T08:05:59.880458,1.17
2025-07-19T08:05:59.954430,1.18
2025-07-19T08:06:00.019320,1.17
2025-07-19T08:06:00.095738,1.16
2025-07-19T08:06:00.183266,1.15
2025-07-19T08:06:00.268699,1.1400000000000001
2025-07-19T08:06:00.337280,1.1400000000000001
2025-07-19T08:06:00.425788,1.08
2025-07-19T08:06:00.511103,1.06
