timestamp,vx,distancia
2025-07-19T05:19:11.675174,0.1659075327364401,28.457
2025-07-19T05:19:11.751999,0.0743617837457089,28.855
2025-07-19T05:19:11.818363,0.08997506623676543,29.0
2025-07-19T05:19:11.920206,0.11186353923488183,29.0
2025-07-19T05:19:12.064054,0.1366524749348705,28.855
2025-07-19T05:19:12.220025,0.13572915238045027,28.8
2025-07-19T05:19:12.328061,0.1323454608415502,28.8
2025-07-19T05:19:12.404470,0.16572641114799114,28.656
2025-07-19T05:19:12.509356,0.079830988334213,29.0
2025-07-19T05:19:12.571987,-0.015191924689152494,29.492
2025-07-19T05:19:12.644624,0.2279575901158225,28.8
2025-07-19T05:19:12.700877,0.09269973336968865,28.944
2025-07-19T05:19:12.761801,0.11839577176305917,28.944
2025-07-19T05:19:12.813871,0.07634269122899151,29.088
2025-07-19T05:19:12.878576,0.08961029972983035,29.145
2025-07-19T05:19:12.932418,0.21433020206065406,28.743
2025-07-19T05:19:12.986726,0.0820757883922539,28.944
2025-07-19T05:19:13.036290,0.0579886638175248,29.145
2025-07-19T05:19:13.093871,0.15363963433314853,28.944
2025-07-19T05:19:13.149707,0.06265236145449035,29.145
2025-07-19T05:19:13.200388,0.03890058834219446,29.346
2025-07-19T05:19:13.257679,0.24474422337848284,28.743
2025-07-19T05:19:13.309510,0.02106061492325216,29.145
2025-07-19T05:19:13.362850,0.09886894774424784,29.145
2025-07-19T05:19:13.416124,0.09891492621740847,29.145
2025-07-19T05:19:13.476890,0.09896690238047753,29.145
2025-07-19T05:19:13.528373,0.20057387713274233,28.8
2025-07-19T05:19:13.576265,0.08910390550779371,28.944
2025-07-19T05:19:13.629208,0.13599000332400668,28.886
2025-07-19T05:19:13.681336,-0.009144949749940054,29.346
2025-07-19T05:19:13.743706,0.09369740655458732,29.29
2025-07-19T05:19:13.794763,0.1705843698262821,29.0
2025-07-19T05:19:13.859371,0.07688455910300644,29.145
2025-07-19T05:19:13.914778,0.14004489447985233,29.0
2025-07-19T05:19:13.973108,0.1291491969205251,28.944
2025-07-19T05:19:14.024390,0.04398036065465756,29.2
2025-07-19T05:19:14.079062,0.09402450291235147,29.2
2025-07-19T05:19:14.134585,0.09406905878915132,29.2
2025-07-19T05:19:14.208404,0.059725096054918186,29.346
2025-07-19T05:19:14.290875,0.20058375780267684,28.8
2025-07-19T05:19:14.357684,0.011993435008603628,29.29
2025-07-19T05:19:14.417644,0.21584619397711652,28.8
2025-07-19T05:19:14.488057,0.05071857614780064,29.145
2025-07-19T05:19:14.543632,0.11585162426917521,29.088
2025-07-19T05:19:14.606196,0.053170086717663656,29.29
2025-07-19T05:19:14.661577,0.16684628170616478,29.0
2025-07-19T05:19:14.717993,0.17008279219674832,28.8
2025-07-19T05:19:14.790896,-0.02961102997966776,29.492
2025-07-19T05:19:14.849371,0.10512900961766605,29.346
2025-07-19T05:19:14.934001,0.08014473515419869,29.346
2025-07-19T05:19:14.986428,0.08017902237557423,29.346
2025-07-19T05:19:15.034547,0.08021048090110851,29.346
2025-07-19T05:19:15.099627,0.08025302277576102,29.346
2025-07-19T05:19:15.140060,0.15027928373400112,29.145
2025-07-19T05:19:15.178817,0.1521436007680023,29.0
2025-07-19T05:19:15.215751,0.11496335415625585,29.0
2025-07-19T05:19:15.258543,0.22978315875443667,28.656
2025-07-19T05:19:15.297450,-0.02518222066498607,29.145
2025-07-19T05:19:15.335950,0.1734557865841022,28.944
2025-07-19T05:19:15.377382,0.12073857896613309,28.944
2025-07-19T05:19:15.418249,0.05145377555263479,29.145
2025-07-19T05:19:15.459026,0.22029559728636122,28.8
2025-07-19T05:19:15.508216,0.0481634350726491,29.088
2025-07-19T05:19:15.550031,0.27198034127748005,28.6
2025-07-19T05:19:15.590700,-0.06321238353572828,29.232
2025-07-19T05:19:15.631883,0.1909338024146024,28.944
2025-07-19T05:19:15.666746,-0.034431051510784516,29.346
2025-07-19T05:19:15.713535,0.14395606414047468,29.145
2025-07-19T05:19:15.770279,0.04548809328335401,29.346
2025-07-19T05:19:15.816803,0.08093083777242385,29.346
2025-07-19T05:19:15.853088,0.1565075743539976,29.145
2025-07-19T05:19:15.896007,0.12007543345019761,29.088
2025-07-19T05:19:15.939280,-0.0938205392519261,29.694
2025-07-19T05:19:15.980847,0.18430964818860313,29.29
2025-07-19T05:19:16.025964,0.021931382011413016,29.492
2025-07-19T05:19:16.066130,-0.05531810196524542,29.841
2025-07-19T05:19:16.113227,0.0315804643315524,29.841
2025-07-19T05:19:16.151433,0.03158659152772719,29.841
2025-07-19T05:19:16.195422,0.03159357930901747,29.841
2025-07-19T05:19:16.232467,0.01127219978887067,29.896
2025-07-19T05:19:16.267618,-0.03086112084883949,30.044
2025-07-19T05:19:16.312377,0.1729817211180898,29.547
2025-07-19T05:19:16.356832,-0.1174631289597488,30.098
2025-07-19T05:19:16.407893,-0.08205386339984609,30.396
2025-07-19T05:19:16.450717,0.09344330684230312,30.044
2025-07-19T05:19:16.496378,0.011287440077605893,30.044
2025-07-19T05:19:16.537679,0.011285619830121812,30.044
2025-07-19T05:19:16.575619,0.08505501185627443,29.841
2025-07-19T05:19:16.620884,-0.033520530968186815,30.044
2025-07-19T05:19:16.659984,-0.008078154853081665,30.098
2025-07-19T05:19:16.698910,0.14922082026215341,29.694
2025-07-19T05:19:16.737749,-0.006301514906716252,29.841
2025-07-19T05:19:16.776489,0.1562244557082657,29.492
2025-07-19T05:19:16.818068,-0.1214428276125831,30.044
2025-07-19T05:19:16.854959,0.16207386537957919,29.638
2025-07-19T05:19:16.895779,-0.08808690811742156,30.044
2025-07-19T05:19:16.932978,0.2150812039904943,29.492
2025-07-19T05:19:16.976769,-0.1633563267905072,30.192
2025-07-19T05:19:17.021773,0.06224093673440001,29.988
2025-07-19T05:19:17.063659,0.04812027673442892,29.896
2025-07-19T05:19:17.115087,-0.061070121112271086,30.192
2025-07-19T05:19:17.155114,0.17067935624087918,29.694
2025-07-19T05:19:17.203890,-0.07687113485663771,30.098
2025-07-19T05:19:17.240644,0.10188070844522532,29.841
2025-07-19T05:19:17.292253,0.07490064718315498,29.694
2025-07-19T05:19:17.341372,0.001864858736354183,29.841
2025-07-19T05:19:17.382152,0.012699444550965945,29.896
2025-07-19T05:19:17.436303,0.026185816896360382,29.896
